timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1590031660105,100000,192.168.137.128 CPU,,,,,true,,0,0,0,0,0,0,0
1590031660105,77541,192.168.137.128 Memory,,,,,true,,0,0,0,0,0,0,0
1590031660105,32,192.168.137.128 Disks I/O,,,,,true,,0,0,0,0,0,0,0
1590031661105,787303000,192.168.137.128 Network I/O,,,,,true,,0,0,0,0,0,0,0
1590031661106,100000,192.168.137.128 CPU,,,,,true,,0,0,0,0,0,0,0
1590031661106,77880,192.168.137.128 Memory,,,,,true,,0,0,0,0,0,0,0
1590031661106,80,192.168.137.128 Disks I/O,,,,,true,,0,0,0,0,0,0,0
1590031662106,540198000,192.168.137.128 Network I/O,,,,,true,,0,0,0,0,0,0,0
1590031662107,100000,192.168.137.128 CPU,,,,,true,,0,0,0,0,0,0,0
1590031662107,78149,192.168.137.128 Memory,,,,,true,,0,0,0,0,0,0,0
1590031662107,20,192.168.137.128 Disks I/O,,,,,true,,0,0,0,0,0,0,0
1590031663107,497983000,192.168.137.128 Network I/O,,,,,true,,0,0,0,0,0,0,0
1590031663107,100000,192.168.137.128 CPU,,,,,true,,0,0,0,0,0,0,0
1590031663107,78364,192.168.137.128 Memory,,,,,true,,0,0,0,0,0,0,0
1590031663107,36,192.168.137.128 Disks I/O,,,,,true,,0,0,0,0,0,0,0
1590031664108,790902000,192.168.137.128 Network I/O,,,,,true,,0,0,0,0,0,0,0
1590031664108,99009,192.168.137.128 CPU,,,,,true,,0,0,0,0,0,0,0
1590031664108,78650,192.168.137.128 Memory,,,,,true,,0,0,0,0,0,0,0
1590031664108,64,192.168.137.128 Disks I/O,,,,,true,,0,0,0,0,0,0,0
1590031665109,787552000,192.168.137.128 Network I/O,,,,,true,,0,0,0,0,0,0,0
1590031665109,100000,192.168.137.128 CPU,,,,,true,,0,0,0,0,0,0,0
1590031665109,79078,192.168.137.128 Memory,,,,,true,,0,0,0,0,0,0,0
1590031665109,32,192.168.137.128 Disks I/O,,,,,true,,0,0,0,0,0,0,0
1590031666109,793420000,192.168.137.128 Network I/O,,,,,true,,0,0,0,0,0,0,0
1590031666109,100000,192.168.137.128 CPU,,,,,true,,0,0,0,0,0,0,0
1590031666109,79414,192.168.137.128 Memory,,,,,true,,0,0,0,0,0,0,0
1590031666109,100,192.168.137.128 Disks I/O,,,,,true,,0,0,0,0,0,0,0
1590031667110,254561000,192.168.137.128 Network I/O,,,,,true,,0,0,0,0,0,0,0
1590031667110,100000,192.168.137.128 CPU,,,,,true,,0,0,0,0,0,0,0
1590031667110,79462,192.168.137.128 Memory,,,,,true,,0,0,0,0,0,0,0
1590031667110,104,192.168.137.128 Disks I/O,,,,,true,,0,0,0,0,0,0,0
1590031668111,789295000,192.168.137.128 Network I/O,,,,,true,,0,0,0,0,0,0,0
1590031668111,100000,192.168.137.128 CPU,,,,,true,,0,0,0,0,0,0,0
1590031668111,79907,192.168.137.128 Memory,,,,,true,,0,0,0,0,0,0,0
1590031668111,52,192.168.137.128 Disks I/O,,,,,true,,0,0,0,0,0,0,0
1590031669111,396896000,192.168.137.128 Network I/O,,,,,true,,0,0,0,0,0,0,0
1590031669112,100000,192.168.137.128 CPU,,,,,true,,0,0,0,0,0,0,0
1590031669112,79962,192.168.137.128 Memory,,,,,true,,0,0,0,0,0,0,0
1590031669112,48,192.168.137.128 Disks I/O,,,,,true,,0,0,0,0,0,0,0
1590031670112,654885000,192.168.137.128 Network I/O,,,,,true,,0,0,0,0,0,0,0
1590031670112,100000,192.168.137.128 CPU,,,,,true,,0,0,0,0,0,0,0
1590031670112,80485,192.168.137.128 Memory,,,,,true,,0,0,0,0,0,0,0
1590031670112,36,192.168.137.128 Disks I/O,,,,,true,,0,0,0,0,0,0,0
1590031671113,544911000,192.168.137.128 Network I/O,,,,,true,,0,0,0,0,0,0,0
1590031671113,100000,192.168.137.128 CPU,,,,,true,,0,0,0,0,0,0,0
1590031671113,80219,192.168.137.128 Memory,,,,,true,,0,0,0,0,0,0,0
1590031671113,28,192.168.137.128 Disks I/O,,,,,true,,0,0,0,0,0,0,0
1590031672114,798711000,192.168.137.128 Network I/O,,,,,true,,0,0,0,0,0,0,0
1590031672114,100000,192.168.137.128 CPU,,,,,true,,0,0,0,0,0,0,0
1590031672114,80480,192.168.137.128 Memory,,,,,true,,0,0,0,0,0,0,0
1590031672114,60,192.168.137.128 Disks I/O,,,,,true,,0,0,0,0,0,0,0
1590031673114,795363000,192.168.137.128 Network I/O,,,,,true,,0,0,0,0,0,0,0
1590031673115,100000,192.168.137.128 CPU,,,,,true,,0,0,0,0,0,0,0
1590031673115,80589,192.168.137.128 Memory,,,,,true,,0,0,0,0,0,0,0
1590031673115,40,192.168.137.128 Disks I/O,,,,,true,,0,0,0,0,0,0,0
1590031674115,510253000,192.168.137.128 Network I/O,,,,,true,,0,0,0,0,0,0,0
1590031674116,100000,192.168.137.128 CPU,,,,,true,,0,0,0,0,0,0,0
1590031674116,80722,192.168.137.128 Memory,,,,,true,,0,0,0,0,0,0,0
1590031674116,60,192.168.137.128 Disks I/O,,,,,true,,0,0,0,0,0,0,0
1590031675117,794911000,192.168.137.128 Network I/O,,,,,true,,0,0,0,0,0,0,0
1590031675117,98979,192.168.137.128 CPU,,,,,true,,0,0,0,0,0,0,0
1590031675117,81128,192.168.137.128 Memory,,,,,true,,0,0,0,0,0,0,0
1590031675117,68,192.168.137.128 Disks I/O,,,,,true,,0,0,0,0,0,0,0
1590031676118,548945000,192.168.137.128 Network I/O,,,,,true,,0,0,0,0,0,0,0
1590031676118,100000,192.168.137.128 CPU,,,,,true,,0,0,0,0,0,0,0
1590031676118,81253,192.168.137.128 Memory,,,,,true,,0,0,0,0,0,0,0
1590031676118,28,192.168.137.128 Disks I/O,,,,,true,,0,0,0,0,0,0,0
1590031677118,283559000,192.168.137.128 Network I/O,,,,,true,,0,0,0,0,0,0,0
1590031677119,99000,192.168.137.128 CPU,,,,,true,,0,0,0,0,0,0,0
1590031677119,81326,192.168.137.128 Memory,,,,,true,,0,0,0,0,0,0,0
1590031677119,32,192.168.137.128 Disks I/O,,,,,true,,0,0,0,0,0,0,0
1590031678119,802385000,192.168.137.128 Network I/O,,,,,true,,0,0,0,0,0,0,0
1590031678119,100000,192.168.137.128 CPU,,,,,true,,0,0,0,0,0,0,0
1590031678119,81676,192.168.137.128 Memory,,,,,true,,0,0,0,0,0,0,0
1590031678119,60,192.168.137.128 Disks I/O,,,,,true,,0,0,0,0,0,0,0
